frequency_of_ enron,frequency_of_ meter,frequency_of_ hpl,frequency_of_ deal,frequency_of_ cc,frequency_of_ statements,frequency_of_ hou,frequency_of_ nbsp,frequency_of_ font,frequency_of_ height
1,1,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,3,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
2,0,1,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,14,0,0,0,0
0,0,0,0,0,0,0,0,0,0
2,0,3,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,9,0,0,0,0
12,1,1,3,2,0,46,0,0,0
5,1,0,0,1,0,3,0,0,0
3,6,0,1,1,0,2,0,0,0
0,0,0,0,0,0,0,0,0,0
5,0,0,0,1,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
16,0,8,0,2,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0
2,3,0,0,2,0,9,0,0,0
2,3,2,8,1,0,0,0,0,0
2,0,4,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0
1,0,0,0,3,0,8,0,0,0
0,0,0,8,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
1,0,5,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
2,0,2,0,1,0,0,0,0,0
0,0,0,0,1,0,3,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
2,0,4,0,0,0,0,0,0,0
0,1,0,0,1,0,5,0,0,0
2,1,0,1,1,0,7,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0
0,0,1,2,0,0,0,0,0,0
0,1,0,2,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
4,0,7,0,0,0,0,0,0,0
